param_name,perturbed_value,social_value,percent_change
crop_RUE,0.500000,1703487.7094,-4.6641
crop_RUE,0.750000,1745157.7188,-2.3321
crop_RUE,0.800000,1753491.7207,-1.8657
crop_RUE,0.900000,1770159.7244,-0.9328
crop_RUE,0.950000,1778493.7263,-0.4664
crop_RUE,1.000000,1786827.7282,0.0000
crop_RUE,1.050000,1795161.7301,0.4664
crop_RUE,1.100000,1803495.7319,0.9328
crop_RUE,1.200000,1820163.7357,1.8657
crop_RUE,1.500000,1870167.7470,4.6641
crop_RUE,2.000000,1953507.7658,9.3283
crop_elec_price,0.250000,938220.7883,-47.4924
crop_elec_price,0.375000,1362524.2582,-23.7462
crop_elec_price,0.400000,1447384.9522,-18.9970
crop_elec_price,0.450000,1617106.3402,-9.4985
crop_elec_price,0.475000,1701967.0342,-4.7492
crop_elec_price,0.500000,1786827.7282,0.0000
crop_elec_price,0.525000,1871688.4222,4.7492
crop_elec_price,0.550000,1956549.1162,9.4985
crop_elec_price,0.600000,2126270.5041,18.9970
crop_elec_price,0.750000,2635434.6681,47.4924
crop_elec_price,1.000000,3484041.6079,94.9848
crop_price,8.015000,1703487.7094,-4.6641
crop_price,12.022500,1745157.7188,-2.3321
crop_price,12.824000,1753491.7207,-1.8657
crop_price,14.427000,1770159.7244,-0.9328
crop_price,15.228500,1778493.7263,-0.4664
crop_price,16.030000,1786827.7282,0.0000
crop_price,16.831500,1795161.7301,0.4664
crop_price,17.633000,1803495.7319,0.9328
crop_price,19.236000,1820163.7357,1.8657
crop_price,24.045000,1870167.7470,4.6641
crop_price,32.060000,1953507.7658,9.3283
PV_n_p,0.100000,892876.8316,-50.0301
PV_n_p,0.150000,1339852.2799,-25.0150
PV_n_p,0.160000,1429247.3695,-20.0120
PV_n_p,0.180000,1608037.5489,-10.0060
PV_n_p,0.190000,1697432.6385,-5.0030
PV_n_p,0.200000,1786827.7282,0.0000
PV_n_p,0.210000,1876222.8178,5.0030
PV_n_p,0.220000,1965617.9075,10.0060
PV_n_p,0.240000,2144408.0868,20.0120
PV_n_p,0.300000,2680778.6248,50.0301
PV_n_p,0.400000,3574729.5214,100.0601
crop_T_max,15.000000,1628094.0733,-8.8835
crop_T_max,20.000000,1711108.0811,-4.2377
crop_T_max,24.000000,1772467.6278,-0.8037
crop_T_max,27.000000,1782724.8424,-0.2296
crop_T_max,28.500000,1785138.3046,-0.0945
crop_T_max,30.000000,1786827.7282,0.0000
crop_T_max,31.500000,1788076.4326,0.0699
crop_T_max,33.000000,1789036.9744,0.1236
crop_T_max,36.000000,1790417.7533,0.2009
crop_T_max,40.000000,1791614.4283,0.2679
crop_T_max,45.000000,1792571.7683,0.3215
crop_GCF,0.150000,1703487.7094,-4.6641
crop_GCF,0.225000,1745157.7188,-2.3321
crop_GCF,0.240000,1753491.7207,-1.8657
crop_GCF,0.270000,1770159.7244,-0.9328
crop_GCF,0.285000,1778493.7263,-0.4664
crop_GCF,0.300000,1786827.7282,0.0000
crop_GCF,0.315000,1795161.7301,0.4664
crop_GCF,0.330000,1803495.7319,0.9328
crop_GCF,0.360000,1820163.7357,1.8657
crop_GCF,0.450000,1870167.7470,4.6641
crop_GCF,0.600000,1953507.7658,9.3283
