var_name,perturbed_value,social_value,percent_change,norm_sensitivity
z_p,2.500000,390518.0979,-0.5893,-1.3260
z_p,3.100000,391582.7699,-0.3183,-1.0232
z_p,3.500000,392241.3966,-0.1507,-0.6779
z_p,3.800000,392592.8878,-0.0612,-0.3933
z_p,4.100000,392699.5778,-0.0340,-0.3827
z_p,4.300000,392771.6392,-0.0157,-0.3527
z_p,4.400000,392803.8271,-0.0075,-0.3367
z_p,4.500000,392833.2163,0.0000,NaN
z_p,4.500000,392833.2163,-0.0000,NaN
z_p,4.500000,392833.2163,-0.0000,NaN
z_p,4.500000,392833.2163,-0.0000,NaN
z_p,4.500000,392833.2163,-0.0000,NaN
z_p,4.500000,392833.2163,-0.0000,NaN
z_p,4.500000,392833.2163,-0.0000,NaN
z_p,4.500000,392833.2163,-0.0000,NaN
l_p,1.000000,332223.2065,-15.4289,-25.7149
l_p,1.450000,350444.4558,-10.7905,-25.6917
l_p,1.750000,362535.4968,-7.7126,-25.7087
l_p,1.975000,371596.0885,-5.4061,-25.7435
l_p,2.200000,380665.6378,-3.0974,-25.8116
l_p,2.350000,386746.1833,-1.5495,-25.8253
l_p,2.425000,389788.4149,-0.7751,-25.8363
l_p,2.500000,392833.2163,0.0000,NaN
l_p,2.500000,392833.2163,-0.0000,NaN
l_p,2.500000,392833.2163,-0.0000,NaN
l_p,2.500000,392833.2163,-0.0000,NaN
l_p,2.500000,392833.2163,-0.0000,NaN
l_p,2.500000,392833.2163,-0.0000,NaN
l_p,2.500000,392833.2163,-0.0000,NaN
l_p,2.500000,392833.2163,-0.0000,NaN
w_p,1.000000,383753.8302,-2.3113,-6.9338
w_p,1.150000,386724.1534,-1.5551,-6.6648
w_p,1.250000,387762.3366,-1.2908,-7.7451
w_p,1.325000,388399.8562,-1.1286,-9.6734
w_p,1.400000,391483.9953,-0.3435,-5.1519
w_p,1.450000,389034.6541,-0.9670,-29.0090
w_p,1.475000,390934.4044,-0.4834,-29.0018
w_p,1.500000,392833.2163,0.0000,NaN
w_p,1.500000,392833.2163,-0.0000,NaN
w_p,1.500000,392833.2163,-0.0000,NaN
w_p,1.500000,392833.2163,-0.0000,NaN
w_p,1.500000,392833.2163,-0.0000,NaN
w_p,1.500000,392833.2163,-0.0000,NaN
w_p,1.500000,392833.2163,-0.0000,NaN
w_p,1.500000,392833.2163,-0.0000,NaN
phi,-90.000000,392833.2163,0.0000,NaN
phi,-90.000000,392833.2163,-0.0000,NaN
phi,-90.000000,392833.2163,-0.0000,NaN
phi,-90.000000,392833.2163,-0.0000,NaN
phi,-90.000000,392833.2163,-0.0000,NaN
phi,-90.000000,392833.2163,-0.0000,NaN
phi,-90.000000,392833.2163,-0.0000,NaN
phi,-90.000000,392833.2163,-0.0000,NaN
phi,-81.000000,392838.6783,0.0014,0.0139
phi,-72.000000,392836.9873,0.0010,0.0048
phi,-54.000000,392816.5407,-0.0042,-0.0106
phi,-27.000000,392722.9916,-0.0281,-0.0401
phi,0.000000,392760.5956,-0.0185,-0.0185
phi,36.000000,392745.5733,-0.0223,-0.0159
phi,90.000000,392833.2163,-0.0000,-0.0000
sigma,0.000000,392833.2163,0.0000,NaN
sigma,0.000000,392833.2163,-0.0000,NaN
sigma,0.000000,392833.2163,-0.0000,NaN
sigma,0.000000,392833.2163,-0.0000,NaN
sigma,0.000000,392833.2163,-0.0000,NaN
sigma,0.000000,392833.2163,-0.0000,NaN
sigma,0.000000,392833.2163,-0.0000,NaN
sigma,0.000000,392833.2163,-0.0000,NaN
sigma,4.500000,389992.5069,-0.7231,NaN
sigma,9.000000,386613.7054,-1.5832,NaN
sigma,18.000000,377626.8602,-3.8709,NaN
sigma,31.500000,361241.3564,-8.0421,NaN
sigma,45.000000,342432.4129,-12.8301,NaN
sigma,63.000000,313385.6296,-20.2243,NaN
sigma,90.000000,258637.6027,-34.1610,NaN
y_p,2.000000,355820.2971,-9.4220,-11.7776
y_p,4.400000,381213.9039,-2.9578,-5.2818
y_p,6.000000,367543.9583,-6.4377,-16.0941
y_p,7.200000,386888.4235,-1.5133,-5.4047
y_p,8.400000,376796.6121,-4.0823,-25.5143
y_p,9.200000,385409.0956,-1.8899,-23.6236
y_p,9.600000,389253.7744,-0.9112,-22.7797
y_p,10.000000,392833.2163,0.0000,NaN
y_p,10.000000,392833.2163,-0.0000,NaN
y_p,10.000000,392833.2163,-0.0000,NaN
y_p,10.000000,392833.2163,-0.0000,NaN
y_p,10.000000,392833.2163,-0.0000,NaN
y_p,10.000000,392833.2163,-0.0000,NaN
y_p,10.000000,392833.2163,-0.0000,NaN
y_p,10.000000,392833.2163,-0.0000,NaN
x_p,0.100000,392824.2623,-0.0023,-0.0200
x_p,0.100000,392824.2623,-0.0023,-0.0200
x_p,0.100000,392824.2623,-0.0023,-0.0200
x_p,0.100000,392824.2623,-0.0023,-0.0200
x_p,0.100000,392824.2623,-0.0023,-0.0200
x_p,0.100000,392824.2623,-0.0023,-0.0200
x_p,0.100000,392824.2623,-0.0023,-0.0200
x_p,0.112893,392833.2163,0.0000,NaN
x_p,0.157893,389524.0957,-0.8424,-2.1133
x_p,0.202893,386214.6402,-1.6848,-2.1134
x_p,0.292893,379588.0056,-3.3717,-2.1147
x_p,0.427893,372978.1398,-5.0543,-1.8114
x_p,0.562893,369705.0361,-5.8875,-1.4770
x_p,0.742893,363094.6049,-7.5703,-1.3566
x_p,1.000000,356449.1370,-9.2620,-1.1787
