start_date_utc,total_co2_marginal_intensity_lbs_per_mwh,coal_marginal_proportion,hydro_marginal_proportion,natural_gas_marginal_proportion,other_marginal_proportion,solar_marginal_proportion,storage_marginal_proportion,wind_marginal_proportion
2025-07-01T04:00:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T04:05:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T04:10:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T04:15:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T04:20:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T04:25:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T04:30:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T04:35:00+00:00,0,0,0,0,0,0,1,0
2025-07-01T04:40:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T04:45:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T04:50:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T04:55:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T05:00:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T05:05:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T05:10:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T05:15:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T05:20:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T05:25:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T05:30:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T05:35:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T05:40:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T05:45:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T05:50:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T05:55:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T06:00:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T06:05:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T06:10:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T06:15:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T06:20:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T06:25:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T06:30:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T06:35:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T06:40:00+00:00,1236.31,0.25,0,0.75,0,0,0,0
2025-07-01T06:45:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T06:50:00+00:00,912.55,0,0,1,0,0,0,0
2025-07-01T06:55:00+00:00,2207.6,1,0,0,0,0,0,0
2025-07-01T07:00:00+00:00,912.55,0,0,1,0,0,0,0
