variant,max_generations,objective_cost,social_value,profit,emissions_value,pv_revenue,crop_revenue,yearly_biomass,total_panels,exitflag,function_count,elapsed_seconds,mean_tracking_deg,max_tracking_deg,x_final_1,x_final_2,x_final_3,x_final_4,x_final_5,x_final_6,x_final_7,x_final_8,x_final_9,x_final_10,x_final_11,x_final_12,x_final_13,x_final_14,x_final_15,x_final_16,x_final_17,x_final_18,x_final_19,x_final_20,x_final_21,x_final_22,x_final_23,x_final_24,x_final_25,x_final_26,x_final_27,x_final_28,x_final_29,x_final_30,x_final_31,x_final_32,x_final_33,x_final_34,x_final_35,x_final_36,x_final_37,x_final_38,x_final_39,x_final_40,x_final_41,x_final_42,x_final_43,x_final_44,x_final_45,x_final_46,x_final_47,x_final_48,x_final_49,x_final_50,x_final_51,x_final_52,x_final_53,x_final_54,x_final_55,x_final_56,x_final_57,x_final_58,x_final_59,x_final_60,x_final_61,x_final_62,x_final_63,x_final_64,x_final_65,x_final_66,x_final_67,x_final_68,x_final_69,x_final_70,x_final_71,x_final_72,x_final_73,x_final_74,x_final_75,x_final_76,x_final_77,x_final_78,x_final_79,x_final_80,x_final_81,x_final_82,x_final_83,x_final_84,x_final_85,x_final_86,x_final_87,x_final_88,x_final_89,x_final_90,x_final_91,x_final_92,x_final_93,x_final_94,x_final_95,x_final_96,x_final_97,x_final_98,x_final_99,x_final_100,x_final_101,x_final_102,x_final_103
fixedAxisBaseline,10,-287031.582893844,573395.300540832,-256226.370850153,829621.671390985,270777.159067786,230575.772695952,667.865246855094,544,0,211,60.181596875,0,0,3.79,2.4925,1.45,0.68,1.19157911597401,2,0.10390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SingleAxisNOSeed,10,-126110.533433347,251347.572897856,-216187.631336416,467535.204234272,157382.830561579,301567.640715897,873.493968838671,288,0,211,56.0630202083333,29.5475017906736,58.5269542611046,3.79,2.43,1.45,0.68,1.5,3,0.1,0.359850146882912,0.602353358404009,0.68758502819525,0.0138659543850414,0.771251918581224,0.024405454569267,0.952911862902491,0.677760372196972,0.673151164786539,0.0706404937915117,0.193516515406882,0.0248667606610934,0.259841464727823,0.824683617809908,0.294123803112902,0.694070677393224,0.462606970395798,0.937697952673509,0.806919046151717,0.522314834969743,0.878303506894831,0.070955096580248,0.434277139687122,1.00014891740091,0.359896300776045,0.11144325183123,0.421556571370183,0.726463328197808,0.262566303091661,0.9850134230383,0.414553221473686,0.553128655979674,0.0201752792175375,0.118973455807321,0.173366512422145,0.289543263352999,0.114534816573671,1.00676542311121,0.930927059584424,0.217336836827621,0.401556735934514,0.909949580483396,0.643009409554791,0.182359716519224,0.81762893839782,1.0214880530204,0.367282666975635,0.661948816587599,0.0379397679134284,0.869074511718131,0.849059070397797,0.710692930532102,0.95529939451887,0.662967919125457,0.572322705696038,0.835943866287975,0.392410125769652,0.211307912946125,0.207513547732796,0.377616276404314,0.506520157390618,0.424837893405195,1.01546863216943,0.255338399112104,0.092667691688463,0.810069941314842,0.083515356638254,0.541983556132899,0.0869782939122537,0.486825418981012,0.342095003659774,0.893532103559364,0.557815011794127,1.00093216134945,0.751770323866889,0.668247497051295,0.211263840756207,0.49355387594572,0.600042081617789,0.883106517473764,0.00810886184571472,0.54676488631203,0.775100424673062,0.730157341897856,0.357278447108412,0.389677375952007,0.293305372896468,0.366601942057125,0.881183433457887,0.92539938871384,0.335021796821102,0.948961651417591,0.659318322004271,0.631762347089123,0.259751373358757,0.0606399995155453
SingleAxisOLDRules,10,-146529.018455195,292388.044062056,-343464.681610394,635852.72567245,213115.108881855,231310.312121644,669.992848333463,352,0,211,56.46146725,10.3720518921374,57.2957795130823,4.29,2.43,1.45,0.68,1.5,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100045027440949,0.402661797832192,0.625043939079325,0.76817403360008,0.857481874543006,0.715949242641795,0.152719067648406,0,0.0784638994408158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946474021824401,0.326602639775137,0.518803994130464,0.663892355600493,0.76850819064589,0.843512751938228,0.967949635802097,0.70551584026037,0.156534731778793,0,0.0293556711700297,0,0,0,0.057867621411468,0,0,0,0,0,0,0,0,5.55465908754265e-05,0.177485228419828,0.465062400863621,0.667346089479443,0.735796968672792,0.874896092876977,0.766348739736509,0.154611030942372,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.398778469803925,0.606980370751576,0.863791908306734,0.895223279956431,0.781073954280034,0.157359950125409,0,0,0,0,0
SingleAxisNEWRules,10,-176813.431819704,352753.215434132,-192795.248643541,545548.464077673,180721.964210593,301620.889759757,873.648205276467,288,0,211,56.2060557916667,2.58672486688828,50.1278536343364,3.79,2.43,1.45,0.68,1.5,3,0.1,0,0,0,0,0,0,0,0,0.140765435571661,0,-0.574252738759201,0.00188365306095998,0,0.100045027440949,0.772075012099322,0.625043939079325,0.76817403360008,0.857481874543006,0.755965918817726,0,0,0,0,0,0,0,0,0,0,0,-1,-0.389096322163189,-0.884497734362734,-0.816966473946908,-0.172540738137787,0,0,0.53743598619617,0.326602639775137,-0.342685320160027,0.554200124285727,0.76850819064589,0.843512751938228,-0.555536947076866,-0.613655041952254,0,0,0,0,0,0,0,0,0,0,-0.357530161494992,-0.576405551705485,-0.312408882382457,0,0,0,0.177485228419828,-0.178729962917581,0.635970550090187,0.258729033015839,0.874896092876977,0.227090354944259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.698138954213656,0,0,0.303854711584672,0.333453139616288,0.803623466394293,0.358672824956182,0.781073954280034,0,0,0,0,0,0
