variant,member,is_seed,num_variables,objective_cost,social_value,profit,emissions_value,pv_revenue,crop_revenue,yearly_biomass,total_panels,mean_tracking_deg,max_tracking_deg
fixedAxisBaseline,1,1,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,2,0,7,-475788.041481024,475788.041481024,-112647.555934679,588435.597415704,196138.584536536,231049.562142676,669.237583168201,352,0,0
fixedAxisBaseline,3,0,7,-483137.897520096,483137.897520096,-110855.501370339,593993.398890435,198029.835437563,230950.36580599,668.950259894323,352,0,0
fixedAxisBaseline,4,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,5,0,7,-490819.247878699,490819.247878699,-108983.874696709,599803.122575409,200009.371287844,230842.456629339,668.637699784215,352,0,0
fixedAxisBaseline,6,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,7,0,7,-492836.575114432,492836.575114432,-108492.571278325,601329.146392757,200529.838939892,230813.292395675,668.553225262509,352,0,0
fixedAxisBaseline,8,0,7,-493585.775711364,493585.775711364,-108310.136483721,601895.912195085,200723.200733211,230802.365396961,668.521575091253,352,0,0
fixedAxisBaseline,9,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,10,0,7,-476249.446208033,476249.446208033,-112535.023572418,588784.469780451,196257.239576737,231043.439464737,669.219848764603,352,0,0
fixedAxisBaseline,11,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,12,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,13,0,7,-494335.484191019,494335.484191019,-108127.59296219,602463.077153208,200916.732470255,230791.377181447,668.489747604866,352,0,0
fixedAxisBaseline,14,0,7,-503288.890941523,503288.890941523,-105948.829426019,609237.720367542,203231.387791036,230655.485396837,668.096135564829,352,0,0
fixedAxisBaseline,15,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,16,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,17,0,7,-488231.659256641,488231.659256641,-109614.208954588,597845.868211228,199342.153031302,230879.340628002,668.744534689654,352,0,0
fixedAxisBaseline,18,0,7,-491033.196591542,491033.196591542,-108931.76435048,599964.960942022,200064.557241096,230839.381022316,668.628791254845,352,0,0
fixedAxisBaseline,19,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,20,0,7,-485740.503444376,485740.503444376,-110221.202345261,595961.705789636,198700.172919228,230914.327349403,668.845874110756,352,0,0
fixedAxisBaseline,21,0,7,-476286.229441326,476286.229441326,-112526.052658384,588812.28209971,196266.699166741,231042.950788767,669.218433309313,352,0,0
fixedAxisBaseline,22,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,23,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,24,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,25,0,7,-506776.538721276,506776.538721276,-105100.84862174,611877.387343017,204135.034164271,230599.819827881,667.934899635669,352,0,0
fixedAxisBaseline,26,0,7,-476157.205644718,476157.205644718,-112557.519866033,588714.725510751,196233.518214988,231044.664532871,669.223397187849,352,0,0
fixedAxisBaseline,27,0,7,-479537.750906932,479537.750906932,-111733.157766337,591270.908673269,197103.135712587,230999.409134968,669.092314432976,352,0,0
fixedAxisBaseline,28,0,7,-489457.92428974,489457.92428974,-109315.471601587,598773.395891328,199658.298586021,230861.932426284,668.694111643027,352,0,0
fixedAxisBaseline,29,0,7,-478250.905792705,478250.905792705,-112046.934259154,590297.840051859,196772.044366946,231016.723987792,669.142467093509,352,0,0
fixedAxisBaseline,30,0,7,-508947.834658981,508947.834658981,-104573.16304431,613520.997703291,204698.314042664,230564.225526918,667.831800353724,352,0,0
fixedAxisBaseline,31,0,7,-483475.815395156,483475.815395156,-110773.136674404,594248.95206956,198116.850776637,230945.715162851,668.936789255618,352,0,0
fixedAxisBaseline,32,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,33,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
fixedAxisBaseline,34,0,7,-507655.501269877,507655.501269877,-104887.212751285,612542.714021162,204362.986372495,230585.503490112,667.89343220678,352,0,0
fixedAxisBaseline,35,0,7,-474609.240196328,474609.240196328,-112935.073316429,587544.313512757,195835.484940564,231065.144356899,669.282717222083,352,0,0
