variant,max_generations,objective_cost,social_value,profit,emissions_value,pv_revenue,crop_revenue,yearly_biomass,total_panels,exitflag,function_count,elapsed_seconds,mean_tracking_deg,max_tracking_deg,x_final_1,x_final_2,x_final_3,x_final_4,x_final_5,x_final_6,x_final_7,x_final_8,x_final_9,x_final_10,x_final_11,x_final_12,x_final_13,x_final_14,x_final_15,x_final_16,x_final_17,x_final_18,x_final_19,x_final_20,x_final_21,x_final_22,x_final_23,x_final_24,x_final_25,x_final_26,x_final_27,x_final_28,x_final_29,x_final_30,x_final_31,x_final_32,x_final_33,x_final_34,x_final_35,x_final_36,x_final_37,x_final_38,x_final_39,x_final_40,x_final_41,x_final_42,x_final_43,x_final_44,x_final_45,x_final_46,x_final_47,x_final_48,x_final_49,x_final_50,x_final_51,x_final_52,x_final_53,x_final_54,x_final_55,x_final_56,x_final_57,x_final_58,x_final_59,x_final_60,x_final_61,x_final_62,x_final_63,x_final_64,x_final_65,x_final_66,x_final_67,x_final_68,x_final_69,x_final_70,x_final_71,x_final_72,x_final_73,x_final_74,x_final_75,x_final_76,x_final_77,x_final_78,x_final_79,x_final_80,x_final_81,x_final_82,x_final_83,x_final_84,x_final_85,x_final_86,x_final_87,x_final_88,x_final_89,x_final_90,x_final_91,x_final_92,x_final_93,x_final_94,x_final_95,x_final_96,x_final_97,x_final_98,x_final_99,x_final_100,x_final_101,x_final_102,x_final_103
fixedAxisBaseline,25,-308450.122465176,616201.267672613,-121727.427341445,737928.695014058,244472.115565893,241316.975331554,698.977257739282,403,0,2480,516.816472291667,0,0,4.493125,2.43,1.496875,0.375,0.75,2.0625,0.115625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SingleAxisNOSeed,25,-198596.754389796,396320.412181132,-182049.465450788,578369.87763192,191658.185772082,301430.451391022,873.096598459068,288,0,2480,456.33608025,0.967414981818751,59.433497058537,3.79,2.43,1.45,0,1,3,0.1,0,0,0,0,0,0,0,-1.00696784634671,-0.695234867274825,-0.994124901775166,-0.480221004061577,-0.503338899786637,-0.200772941155067,-0.106410848070486,0.0337357300561105,0.977899174126305,0.362357283679262,0.901088002118171,0.935084595070376,0,0,0,0,0,0,0,0,0,0,0,-0.798059781286359,-0.954548988819156,-0.742727680232888,-1.03878018870129,-0.269359064317259,-0.18231421199465,0.188509304430436,-0.050319654498188,0.439128561740916,0.634319140273438,0.393577232659035,0.817027819764564,0.445506274990818,0.763849929294353,0.596773236950959,0,0,0,0,0,0,0,0,0,0,-0.0817603508127056,-0.507211818076311,-1.03047995976826,-0.919133736685912,-0.897492064013767,0.12108077692365,0.203624049894434,0.22950334450499,0.944547999503872,0.875479578890565,0.793592249742233,1.03731020964584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.311210868936475,-0.928661497912004,-0.476368260888086,0.206545449615251,0.607716022403301,0.646739850900305,0.887206039812199,0.870880310416167,-0.116663372071369,0,0,0,0,0,0
SingleAxisPerturbedSeed,25,-214116.723161599,427355.077766729,-172969.546180713,600324.623947442,198917.998669489,303250.55776369,878.368556469538,288,0,2480,582.634881708333,0.193984805002561,56.5859845163312,4.29,2.43,1.45,1,1,3,0.1,0,0,0,0,0,0,0,-1.0471975511966,-0.951454750476738,-0.920348175980507,-0.654894702712917,-0.356811630908841,-0.0998585716164888,0.0701208222274854,0.323338302163287,0.581240475785643,0.885627155431767,0.914883470263559,0.808069817149347,0,0,0,0,0,-0,0,0,0,0,0,-0.934577402535651,-0.921254265966906,-0.913716715899613,-0.736286476629774,-0.539512552793183,-0.280325698741341,-0.00875459692920196,0.0679467110939553,0.269194145774521,0.517944361785761,0.679134634921981,0.796443829419622,0.859241100404166,0.987611740292511,-0.342504064619156,0,0,0,0,0,0,0,0,0,0,-0.846761128814631,-1.00080339076778,-0.921654424170047,-0.6600222477648,-0.293470091749199,-0.153991080015238,0.201698057269625,0.40687411652457,0.71002905580594,0.887651374347209,0.945765266183308,0.858968040940823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.851733398875057,-0.69462105388432,-0.473171394380872,0.0190716785319529,0.18423731129185,0.536264168719685,0.727337612366086,0.931432716560975,0.758624062602082,0,0,0,0,0,0
SingleAxisRandomSmoothed,25,-211611.276307109,422346.226643228,-174750.535529658,597096.762172886,197842.197571023,302545.369513211,876.32597099111,288,0,2480,601.494675416667,1.45116868619049,58.631259425874,3.79,2.43,1.45,1,1,3,0.10390625,0,0,0,0,0,0,0,-0.771463288520983,-1.00865982917909,-0.80912915108035,-0.690475152476684,-0.422506839040329,0.0903419552739611,0.179316193623108,0.402661797832192,0.625043939079325,0.84629903360008,0.857481874543006,0.755965918817726,0,0,0,0,0,0,0,0,0,0,0,-1.00099899405981,-0.857679302676785,-0.788071621300521,-0.69126560065146,-0.556415280244967,-0.323701476453419,0.0555659821511974,0.146070411588028,0.326602639775137,0.518803994130464,0.663892355600493,0.76850819064589,0.843512751938228,1.02330852157246,0.777598346437592,0,0,0,0,0,0,0,0,0,0,-0.763144525919819,-0.994596041100666,-0.787029752049631,-0.654683436695794,-0.392582770323666,0.0614808659951752,0.168530573934613,0.465062400863621,0.667346089479443,0.795120173136097,0.874896092876977,0.766348739736509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.931653452801157,-0.81755231411813,-0.534691575392425,0.135728469725325,0.325368491629691,0.606980370751576,0.803623466394293,0.895223279956431,0.781073954280034,0,0,0,0,0,0
