slot_time_et,mean_marginal_co2_lbs_per_mwh,median_marginal_co2_lbs_per_mwh,n_days_contributing,source_slot_ct
00:00,960.382320,912.550000,86,23:00
00:05,1014.445632,912.550000,86,23:05
00:10,1086.286355,912.550000,86,23:10
00:15,988.307712,912.550000,86,23:15
00:20,921.260823,912.550000,86,23:20
00:25,1006.545482,912.550000,86,23:25
00:30,956.403013,912.550000,86,23:30
00:35,983.927997,912.550000,86,23:35
00:40,1041.093362,912.550000,86,23:40
00:45,1027.642209,912.550000,86,23:45
00:50,986.854811,912.550000,86,23:50
00:55,994.468333,912.550000,86,23:55
01:00,927.316063,912.550000,86,00:00
01:05,1083.257236,912.550000,86,00:05
01:10,1003.137621,912.550000,86,00:10
01:15,1026.249552,912.550000,86,00:15
01:20,1023.156123,912.550000,86,00:20
01:25,942.301979,912.550000,86,00:25
01:30,1081.688796,912.550000,86,00:30
01:35,1046.096571,912.550000,86,00:35
01:40,1063.812754,912.550000,86,00:40
01:45,1068.135962,912.550000,86,00:45
01:50,1051.087722,912.550000,86,00:50
01:55,1046.392293,912.550000,86,00:55
02:00,1015.993621,912.550000,86,01:00
02:05,948.848444,912.550000,86,01:05
02:10,951.239146,912.550000,86,01:10
02:15,1024.857497,912.550000,86,01:15
02:20,1079.668353,912.550000,86,01:20
02:25,978.984755,912.550000,86,01:25
02:30,1021.400684,912.550000,86,01:30
02:35,1025.012461,912.550000,86,01:35
02:40,947.940555,912.550000,86,01:40
02:45,1040.137577,912.550000,86,01:45
02:50,1126.954251,912.550000,86,01:50
02:55,1059.356037,912.550000,86,01:55
03:00,1080.248160,912.550000,86,02:00
03:05,997.768843,912.550000,86,02:05
03:10,1094.588752,912.550000,86,02:10
03:15,1120.052173,912.550000,86,02:15
03:20,1038.020561,912.550000,86,02:20
03:25,1070.706690,912.550000,86,02:25
03:30,1016.887365,912.550000,86,02:30
03:35,1097.544601,912.550000,86,02:35
03:40,966.619342,912.550000,86,02:40
03:45,1110.657459,912.550000,86,02:45
03:50,983.032587,912.550000,86,02:50
03:55,1046.250775,912.550000,86,02:55
04:00,1034.139925,912.550000,86,03:00
04:05,1053.171735,912.550000,86,03:05
04:10,1025.015184,912.550000,86,03:10
04:15,1106.747331,912.550000,86,03:15
04:20,1032.266352,912.550000,86,03:20
04:25,1179.671340,960.362750,86,03:25
04:30,1119.991788,912.550000,86,03:30
04:35,1031.352611,912.550000,86,03:35
04:40,1061.380151,912.550000,86,03:40
04:45,1139.725487,912.550000,86,03:45
04:50,1083.893008,912.550000,86,03:50
04:55,1043.722270,912.550000,86,03:55
05:00,1075.547459,912.550000,86,04:00
05:05,970.821201,912.550000,86,04:05
05:10,1054.419692,912.550000,86,04:10
05:15,966.559285,912.550000,86,04:15
05:20,981.990330,912.550000,86,04:20
05:25,1011.959906,912.550000,86,04:25
05:30,916.885326,912.550000,86,04:30
05:35,1003.417134,912.550000,86,04:35
05:40,905.896663,912.550000,86,04:40
05:45,1080.169480,912.550000,86,04:45
05:50,994.977610,912.550000,86,04:50
05:55,1146.731249,912.550000,86,04:55
06:00,955.056322,912.550000,86,05:00
06:05,1005.732810,912.550000,86,05:05
06:10,1007.826939,912.550000,86,05:10
06:15,955.145529,912.550000,86,05:15
06:20,991.838272,912.550000,86,05:20
06:25,982.011888,912.550000,86,05:25
06:30,1046.921802,912.550000,86,05:30
06:35,943.387113,912.550000,86,05:35
06:40,972.826652,912.550000,86,05:40
06:45,1000.511688,912.550000,86,05:45
06:50,924.723928,912.550000,86,05:50
06:55,1042.834236,912.550000,86,05:55
07:00,983.149083,912.550000,86,06:00
07:05,877.652307,912.550000,86,06:05
07:10,994.560795,912.550000,86,06:10
07:15,979.324558,912.550000,86,06:15
07:20,947.290434,912.550000,86,06:20
07:25,974.363997,912.550000,86,06:25
07:30,963.646965,912.550000,86,06:30
07:35,987.160654,912.550000,86,06:35
07:40,1062.386409,912.550000,86,06:40
07:45,1090.430207,912.550000,86,06:45
07:50,945.511311,912.550000,86,06:50
07:55,1015.815485,912.550000,86,06:55
08:00,935.796852,912.550000,86,07:00
08:05,947.125890,912.550000,86,07:05
08:10,949.852606,912.550000,86,07:10
08:15,854.607386,912.550000,86,07:15
08:20,933.835025,912.550000,86,07:20
08:25,992.179789,912.550000,86,07:25
08:30,1043.022158,912.550000,86,07:30
08:35,1048.108507,912.550000,86,07:35
08:40,1018.216223,912.550000,86,07:40
08:45,972.395890,912.550000,86,07:45
08:50,944.148411,912.550000,86,07:50
08:55,882.112510,912.550000,86,07:55
09:00,985.653946,912.550000,86,08:00
09:05,981.963526,912.550000,86,08:05
09:10,1018.870308,912.550000,86,08:10
09:15,958.091813,912.550000,86,08:15
09:20,979.394142,912.550000,86,08:20
09:25,991.139923,912.550000,86,08:25
09:30,972.195489,912.550000,86,08:30
