slot_time_et,mean_marginal_co2_lbs_per_mwh,median_marginal_co2_lbs_per_mwh,n_days_contributing,source_slot_ct
10:50,1044.998506,912.550000,90,09:50
10:55,1049.034419,912.550000,90,09:55
11:00,1081.098593,912.550000,90,10:00
11:05,1044.165938,912.550000,90,10:05
11:10,1117.882411,912.550000,90,10:10
11:15,1146.907330,912.550000,90,10:15
11:20,1136.661692,912.550000,90,10:20
11:25,1171.425312,912.550000,90,10:25
11:30,1055.289336,912.550000,90,10:30
11:35,1126.662256,912.550000,90,10:35
11:40,1224.624238,960.362750,90,10:40
11:45,1175.770055,912.550000,90,10:45
11:50,1066.846005,912.550000,90,10:50
11:55,1123.271149,912.550000,90,10:55
12:00,1150.427986,912.550000,90,11:00
12:05,1093.655674,912.550000,90,11:05
12:10,1154.167255,912.550000,90,11:10
12:15,1252.286270,1040.050667,90,11:15
12:20,1059.735372,912.550000,90,11:20
12:25,1175.170878,912.550000,90,11:25
12:30,1000.546541,912.550000,90,11:30
12:35,1062.502123,912.550000,90,11:35
12:40,1126.909650,912.550000,90,11:40
12:45,1081.567401,912.550000,90,11:45
12:50,1054.699007,912.550000,90,11:50
12:55,1061.311565,912.550000,90,11:55
13:00,1051.343101,912.550000,90,12:00
13:05,1014.835490,912.550000,90,12:05
13:10,1044.558762,912.550000,90,12:10
13:15,1171.850235,912.550000,90,12:15
13:20,1070.531330,912.550000,90,12:20
13:25,1130.107425,912.550000,90,12:25
13:30,1157.256136,912.550000,90,12:30
13:35,1058.390731,912.550000,90,12:35
13:40,1120.498031,912.550000,90,12:40
13:45,1085.752789,912.550000,90,12:45
13:50,1089.285426,912.550000,90,12:50
13:55,1115.147927,912.550000,90,12:55
14:00,1043.159273,912.550000,90,13:00
14:05,1089.014142,912.550000,90,13:05
14:10,1165.469892,912.550000,90,13:10
14:15,990.519698,912.550000,90,13:15
14:20,1091.346545,912.550000,90,13:20
14:25,1069.323707,912.550000,90,13:25
14:30,1036.035405,912.550000,90,13:30
14:35,1077.482853,912.550000,90,13:35
14:40,982.380562,912.550000,90,13:40
14:45,1072.972923,912.550000,90,13:45
14:50,1049.770213,912.550000,90,13:50
14:55,1061.726245,912.550000,90,13:55
15:00,1167.177305,912.550000,90,14:00
15:05,1029.611134,912.550000,90,14:05
15:10,999.055342,912.550000,90,14:10
15:15,1027.504114,912.550000,90,14:15
15:20,1027.928327,912.550000,90,14:20
15:25,1143.488860,912.550000,90,14:25
15:30,1115.068766,912.550000,90,14:30
15:35,1050.992059,912.550000,90,14:35
15:40,1027.282884,912.550000,90,14:40
15:45,1061.641631,912.550000,90,14:45
15:50,1120.063429,912.550000,90,14:50
15:55,1014.964105,912.550000,90,14:55
16:00,968.882864,912.550000,90,15:00
16:05,1004.631412,912.550000,90,15:05
16:10,976.007691,912.550000,90,15:10
16:15,1024.973676,912.550000,90,15:15
16:20,995.474270,912.550000,90,15:20
16:25,1003.650719,912.550000,90,15:25
16:30,1083.639832,912.550000,90,15:30
16:35,1012.725614,912.550000,90,15:35
16:40,1037.929366,912.550000,90,15:40
16:45,1056.354445,912.550000,90,15:45
16:50,1052.493333,912.550000,90,15:50
16:55,1001.704450,912.550000,90,15:55
17:00,1063.965196,912.550000,90,16:00
17:05,1047.695925,912.550000,90,16:05
17:10,1082.342069,912.550000,90,16:10
17:15,1039.632499,912.550000,90,16:15
17:20,974.332764,912.550000,90,16:20
17:25,1006.703508,912.550000,90,16:25
17:30,1015.554577,912.550000,90,16:30
17:35,940.383945,912.550000,90,16:35
17:40,891.823942,912.550000,90,16:40
17:45,945.468311,912.550000,90,16:45
17:50,922.590584,912.550000,90,16:50
17:55,992.410179,912.550000,90,16:55
18:00,1002.560673,912.550000,90,17:00
18:05,1010.113074,912.550000,90,17:05
18:10,993.615640,912.550000,90,17:10
18:15,928.922643,912.550000,90,17:15
18:20,942.476765,912.550000,90,17:20
18:25,907.736770,912.550000,90,17:25
18:30,940.191418,912.550000,90,17:30
18:35,1018.930609,912.550000,90,17:35
18:40,1005.819555,912.550000,90,17:40
18:45,989.240026,912.550000,90,17:45
18:50,1012.984064,912.550000,90,17:50
18:55,1003.879792,912.550000,90,17:55
19:00,1072.861137,912.550000,90,18:00
19:05,946.591228,912.550000,90,18:05
19:10,994.178724,912.550000,90,18:10
19:15,990.893103,912.550000,90,18:15
19:20,1045.615499,912.550000,90,18:20
19:25,967.905818,912.550000,90,18:25
19:30,1027.446063,912.550000,90,18:30
19:35,1071.022680,912.550000,90,18:35
19:40,1044.641159,912.550000,90,18:40
19:45,1028.200535,912.550000,90,18:45
19:50,1059.266769,912.550000,90,18:50
19:55,1063.553117,912.550000,90,18:55
20:00,1051.316543,912.550000,90,19:00
20:05,1025.196471,912.550000,90,19:05
20:10,1099.108943,912.550000,90,19:10
20:15,1026.175033,912.550000,90,19:15
20:20,1077.003281,912.550000,90,19:20
20:25,1001.241903,912.550000,90,19:25
20:30,1032.050981,912.550000,90,19:30
20:35,1056.224285,912.550000,90,19:35
20:40,1025.121308,912.550000,90,19:40
20:45,1100.899635,912.550000,90,19:45
20:50,1093.609740,912.550000,90,19:50
20:55,1134.532506,912.550000,90,19:55
21:00,1080.050093,912.550000,90,20:00
21:05,1026.838006,912.550000,90,20:05
21:10,1061.955105,912.550000,90,20:10
21:15,1136.114268,912.550000,90,20:15
21:20,1079.380404,912.550000,90,20:20
21:25,1027.629502,912.550000,90,20:25
21:30,1148.394200,912.550000,90,20:30
21:35,1062.285451,912.550000,90,20:35
21:40,1102.446063,912.550000,90,20:40
21:45,1082.441334,912.550000,90,20:45
21:50,1064.634574,912.550000,90,20:50
21:55,1069.536849,912.550000,90,20:55
22:00,1016.638240,912.550000,90,21:00
22:05,1068.850354,912.550000,90,21:05
22:10,1041.819025,912.550000,90,21:10
22:15,1095.040083,912.550000,90,21:15
22:20,1048.696634,912.550000,90,21:20
22:25,1088.740177,912.550000,90,21:25
22:30,1036.949721,912.550000,90,21:30
22:35,1007.571502,912.550000,90,21:35
22:40,1123.240095,912.550000,90,21:40
22:45,1125.729377,912.550000,90,21:45
22:50,1097.394438,912.550000,90,21:50
22:55,1089.072715,912.550000,90,21:55
23:00,1110.209744,912.550000,90,22:00
23:05,994.230408,912.550000,90,22:05
23:10,972.701371,912.550000,90,22:10
23:15,1031.711183,912.550000,90,22:15
23:20,1012.377078,912.550000,90,22:20
23:25,1067.931358,912.550000,90,22:25
23:30,1088.249925,912.550000,90,22:30
23:35,1024.159584,912.550000,90,22:35
23:40,1002.606554,912.550000,90,22:40
23:45,1110.123220,912.550000,90,22:45
23:50,998.590747,912.550000,90,22:50
23:55,1030.074469,912.550000,90,22:55
