slot_time_et,mean_marginal_co2_lbs_per_mwh,median_marginal_co2_lbs_per_mwh,n_days_contributing,source_slot_ct
00:00,1121.500851,912.550000,89,23:00
00:05,1108.339437,912.550000,89,23:05
00:10,1112.349700,912.550000,89,23:10
00:15,1070.821518,912.550000,89,23:15
00:20,1087.280458,912.550000,89,23:20
00:25,1034.443299,912.550000,89,23:25
00:30,1045.298204,912.550000,89,23:30
00:35,1178.240578,912.550000,89,23:35
00:40,1135.108986,912.550000,89,23:40
00:45,1065.912428,912.550000,89,23:45
00:50,1072.434143,912.550000,89,23:50
00:55,1105.911727,912.550000,89,23:55
01:00,1067.877824,912.550000,89,00:00
01:05,1038.658731,912.550000,89,00:05
01:10,1136.875691,912.550000,89,00:10
01:15,1128.192032,912.550000,89,00:15
01:20,1057.458297,912.550000,89,00:20
01:25,1095.429105,912.550000,89,00:25
01:30,1141.036244,912.550000,89,00:30
01:35,1008.780711,912.550000,89,00:35
01:40,1098.367757,912.550000,89,00:40
01:45,1122.408775,912.550000,89,00:45
01:50,1137.041568,912.550000,89,00:50
01:55,1078.983021,912.550000,89,00:55
02:00,1064.919861,912.550000,89,01:00
02:05,1010.657443,912.550000,89,01:05
02:10,1117.507021,912.550000,89,01:10
02:15,1131.320343,912.550000,89,01:15
02:20,1049.833953,912.550000,89,01:20
02:25,1144.107655,912.550000,89,01:25
02:30,1126.540842,912.550000,89,01:30
02:35,1089.359950,912.550000,89,01:35
02:40,1128.965213,912.550000,89,01:40
02:45,1112.917086,912.550000,89,01:45
02:50,1073.214856,912.550000,89,01:50
02:55,1184.294503,912.550000,89,01:55
03:00,1157.438012,912.550000,89,02:00
03:05,1041.105249,912.550000,89,02:05
03:10,1018.714898,912.550000,89,02:10
03:15,1134.271725,912.550000,89,02:15
03:20,1056.459150,912.550000,89,02:20
03:25,985.107600,912.550000,89,02:25
03:30,1061.882593,912.550000,89,02:30
03:35,1081.920437,912.550000,89,02:35
03:40,1108.251499,912.550000,89,02:40
03:45,1132.344588,912.550000,89,02:45
03:50,1101.213744,912.550000,89,02:50
03:55,1130.667490,912.550000,89,02:55
04:00,1072.716432,912.550000,89,03:00
04:05,1051.474116,912.550000,89,03:05
04:10,1025.720939,912.550000,89,03:10
04:15,1183.652701,912.550000,89,03:15
