start_date_utc,total_co2_marginal_intensity_lbs_per_mwh,coal_marginal_proportion,hydro_marginal_proportion,natural_gas_marginal_proportion,other_marginal_proportion,solar_marginal_proportion,storage_marginal_proportion,wind_marginal_proportion
2025-03-21T05:00:00+00:00,520.03,0.17,0,0.17,0,0,0,0.67
2025-03-21T05:05:00+00:00,1324.56,0.6,0,0,0,0,0,0.4
2025-03-21T05:10:00+00:00,806.54,0.2,0,0.4,0,0,0,0.4
2025-03-21T05:15:00+00:00,551.9,0.25,0,0,0,0,0,0.75
2025-03-21T05:20:00+00:00,780.04,0.25,0,0.25,0,0,0,0.5
2025-03-21T05:25:00+00:00,182.51,0,0,0.2,0,0,0.2,0.6
2025-03-21T05:30:00+00:00,445.74,0.14,0,0.14,0,0,0,0.71
2025-03-21T05:35:00+00:00,735.87,0.33,0,0,0,0,0,0.67
2025-03-21T05:40:00+00:00,152.09,0,0,0.17,0,0,0,0.83
2025-03-21T05:45:00+00:00,618.16,0.13,0,0.38,0,0,0,0.5
2025-03-21T05:50:00+00:00,304.18,0,0,0.33,0,0,0,0.67
2025-03-21T05:55:00+00:00,780.04,0.25,0,0.25,0,0,0,0.5
2025-03-21T06:00:00+00:00,448.08,0.11,0,0.22,0,0,0,0.67
2025-03-21T06:05:00+00:00,887.96,0.33,0,0.17,0,0,0,0.5
2025-03-21T06:10:00+00:00,887.96,0.33,0,0.17,0,0,0,0.5
2025-03-21T06:15:00+00:00,630.74,0.29,0,0,0,0,0,0.71
2025-03-21T06:20:00+00:00,0,0,0,0,0,0,0,1
2025-03-21T06:25:00+00:00,520.03,0.17,0,0.17,0,0,0,0.67
2025-03-21T06:30:00+00:00,520.03,0.17,0,0.17,0,0,0,0.67
2025-03-21T06:35:00+00:00,520.03,0.17,0,0.17,0,0,0,0.67
2025-03-21T06:40:00+00:00,624.03,0.2,0,0.2,0,0,0,0.6
2025-03-21T06:45:00+00:00,549.47,0.11,0,0.33,0,0,0,0.56
2025-03-21T06:50:00+00:00,1040.05,0.33,0,0.33,0,0,0,0.33
2025-03-21T06:55:00+00:00,891.47,0.29,0,0.29,0,0,0,0.43
2025-03-21T07:00:00+00:00,672.12,0.17,0,0.33,0,0,0,0.5
2025-03-21T07:05:00+00:00,576.1,0.14,0,0.29,0,0,0,0.57
2025-03-21T07:10:00+00:00,520.03,0.17,0,0.17,0,0,0,0.67
2025-03-21T07:15:00+00:00,504.09,0.13,0,0.25,0,0,0,0.63
2025-03-21T07:20:00+00:00,706.46,0.14,0,0.43,0,0,0,0.43
2025-03-21T07:25:00+00:00,1076.48,0.43,0,0.14,0,0,0,0.43
2025-03-21T07:30:00+00:00,887.96,0.33,0,0.17,0,0,0,0.5
2025-03-21T07:35:00+00:00,665.97,0.25,0,0.13,0,0,0,0.63
2025-03-21T07:40:00+00:00,549.47,0.11,0,0.33,0,0,0,0.56
2025-03-21T07:45:00+00:00,665.97,0.25,0,0.13,0,0,0,0.63
2025-03-21T07:50:00+00:00,836.83,0.14,0,0.57,0,0,0,0.29
2025-03-21T07:55:00+00:00,946.12,0.43,0,0,0,0,0,0.57
2025-03-21T08:00:00+00:00,794.76,0.22,0,0.33,0,0,0,0.44
2025-03-21T08:05:00+00:00,618.16,0.13,0,0.38,0,0,0,0.5
2025-03-21T08:10:00+00:00,390.02,0.13,0.13,0.13,0,0,0,0.63
2025-03-21T08:15:00+00:00,1040.05,0.33,0,0.33,0,0,0,0.33
2025-03-21T08:20:00+00:00,576.1,0.14,0,0.29,0,0,0,0.57
2025-03-21T08:25:00+00:00,780.04,0.25,0,0.25,0,0,0,0.5
2025-03-21T08:30:00+00:00,520.03,0.17,0,0.17,0,0,0,0.67
2025-03-21T08:35:00+00:00,576.1,0.14,0,0.29,0,0,0,0.57
2025-03-21T08:40:00+00:00,0,0,0,0,0,0,0,1
2025-03-21T08:45:00+00:00,672.12,0.17,0,0.33,0,0,0,0.5
2025-03-21T08:50:00+00:00,650.87,0.11,0.11,0.44,0,0,0,0.33
2025-03-21T08:55:00+00:00,1008.18,0.25,0,0.5,0,0,0,0.25
2025-03-21T09:00:00+00:00,794.76,0.22,0.11,0.33,0,0,0,0.33
2025-03-21T09:05:00+00:00,818.18,0.13,0,0.38,0.13,0,0,0.38
2025-03-21T09:10:00+00:00,732.23,0.13,0,0.5,0,0,0,0.38
2025-03-21T09:15:00+00:00,260.73,0,0.14,0.29,0,0,0,0.57
2025-03-21T09:20:00+00:00,228.14,0,0,0.25,0,0,0,0.75
2025-03-21T09:25:00+00:00,365.02,0,0.2,0.4,0,0,0,0.4
2025-03-21T09:30:00+00:00,441.52,0.2,0,0,0,0,0,0.8
2025-03-21T09:35:00+00:00,520.03,0.17,0,0.17,0,0,0.17,0.5
2025-03-21T09:40:00+00:00,891.47,0.29,0,0.29,0,0,0,0.43
2025-03-21T09:45:00+00:00,520.03,0.17,0,0.17,0,0,0,0.67
2025-03-21T09:50:00+00:00,576.1,0.14,0.14,0.29,0,0,0,0.43
2025-03-21T09:55:00+00:00,504.09,0.13,0,0.25,0,0,0,0.63
2025-03-21T10:00:00+00:00,761.11,0.29,0,0.14,0,0,0,0.57
2025-03-21T10:05:00+00:00,445.74,0.14,0,0.14,0,0,0,0.71
2025-03-21T10:10:00+00:00,441.52,0.2,0,0,0,0,0,0.8
2025-03-21T10:15:00+00:00,441.52,0.2,0,0,0,0,0.2,0.6
2025-03-21T10:20:00+00:00,304.18,0,0,0.33,0,0,0,0.67
2025-03-21T10:25:00+00:00,152.09,0,0,0.17,0,0,0,0.83
2025-03-21T10:30:00+00:00,672.12,0.17,0,0.33,0,0,0,0.5
2025-03-21T10:35:00+00:00,441.52,0.2,0.2,0,0,0,0,0.6
2025-03-21T10:40:00+00:00,520.03,0.17,0,0.17,0,0,0,0.67
2025-03-21T10:45:00+00:00,504.09,0.13,0,0.25,0,0,0,0.63
2025-03-21T10:50:00+00:00,445.74,0.14,0,0.14,0,0,0,0.71
2025-03-21T10:55:00+00:00,0,0,0,0,0,0,0,1
2025-03-21T11:00:00+00:00,152.09,0,0.17,0.17,0,0,0,0.67
2025-03-21T11:05:00+00:00,152.09,0,0,0.17,0,0,0.17,0.67
2025-03-21T11:10:00+00:00,441.52,0.2,0,0,0,0,0,0.8
2025-03-21T11:15:00+00:00,761.11,0.29,0.14,0.14,0,0.14,0,0.29
2025-03-21T11:20:00+00:00,551.9,0.25,0,0,0,0,0,0.75
2025-03-21T11:25:00+00:00,672.12,0.17,0,0.33,0,0,0,0.5
2025-03-21T11:30:00+00:00,456.27,0,0,0.5,0,0,0,0.5
