Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,983795,-,-,-,42.29,-83.74,-5,263,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Solar Zenith Angle,Precipitable Water,Temperature,Relative Humidity,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,4,30,0,0,128.69,0.6000000000000001,-4.3,86.9,248,3.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,5,30,0,0,117.61,0.6000000000000001,-4,88.17,254,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,6,30,0,0,106.75,0.6000000000000001,-3.7,87.99,261,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,7,30,0,0,96.38,0.6000000000000001,-3.4,87.13,266,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,8,30,14,0,86.59,0.6000000000000001,-2.7,82.94,268,4.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,9,30,81,1,78.34,0.6000000000000001,-1.5,77.95,271,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,10,30,165,4,71.62,0.6000000000000001,-0.5,72.05,272,5.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,11,30,211,4,67.08,0.7000000000000001,0.30000000000000004,69.83,266,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,12,30,300,80,65.2,0.7000000000000001,0.9,70.14,258,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,13,30,72,878,66.23,0.7000000000000001,1.2000000000000002,71.51,251,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
