Metric,FixedAxis,SingleAxis,PercentChange_RelativeToAbsFixed
Profit,92766.7734958085,63567.1384764641,-31.476393884351
Energy,29516524.3582835,75267647.5983168,155.001729487821
Emissions,261710.505370414,666054.694196655,154.500557115179
Crop Yield,1301.62041170065,1265.03595334969,-2.81068566704197
