Optimization_Objective,Height_m,Length_m,Width_m,Azimuth_deg,Tilt_deg,Row_Spacing_m,Panel_Gap_m
Economic,2.79111646231679,1.00149988825969,1.40472287107665,31.2287731782313,24.1657486765153,9.99995659869354,0.976558616058925
Environmental,3.61582398848754,2.49999971183117,1.46249694824219,39.9607823289387,86.084376967251,2.0023193359375,0.1
Energy Production,3.73158935546875,2.4999999332428,1.37057214820863,36.2958667448499,88.090862178622,2,0.100001907348633
Agricultural,4.49754919416246,1.00081394163211,1.49984112917666,-82.9033122197549,87.0632710533466,9.9999438418747,0.100196119065693
Balanced,3.61756782543697,2.40976691012197,1.35725376042604,38.8718311447769,49.6529970570324,5.54930455576811,0.160539370210466
