System,Objective,Profit,Energy,Emissions,CropYield,Panels,PVRevenue
Fixed,PROFIT,92766.7734958085,29516524.3582835,261710.505370414,1301.62041170065,96,16473.8258318834
Single-Axis,PROFIT,63567.1384764641,75267647.5983168,666054.694196655,1265.03595334969,115,42008.540784114
Fixed,EMISSIONS,-3055636.37937106,527267064.959049,4774525.1469565,675.217715771744,768,294279.424284115
Single-Axis,EMISSIONS,-312094.0283149,431258497.928848,3818336.85289104,675.101631105903,363,240694.91709669
Fixed,POWER,-3071133.18348035,527588920.055696,4765292.52130967,675.798188410405,768,294459.058740425
Single-Axis,POWER,-308095.262110482,444152056.20254,3932655.94585553,665.932784508434,352,247891.097472664
Fixed,CROP,-20738.4932620523,31652207.2099989,292869.889346897,1322.46561995567,124,17665.7977220773
Single-Axis,CROP,72138.2740209221,61909325.4260653,543817.645722277,1294.75923423184,128,34552.9653850376
