run_id,exitflag,fval_initial,social_value_initial,fval,social_value,func_count,iterations,time_s,x0_z_p,x0_l_p,x0_w_p,x0_phi_deg,x0_sigma_deg,x0_y_p,x0_x_p,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
1,2,-134746.535789177,134746.535789177,-462942.696566025,462942.696566025,358,18,146.322569,3.53390194687411,1.08333337463793,1.02749421899839,-8.21533454228518,73.7404532712571,8.62777013180106,0.927988538048773,4.5,2.5,1.5,17.6518026402238,29.3211129617774,10,0.772664583090668,
2,2,-401511.880952973,401511.880952973,-510837.874860719,510837.874860719,281,11,127.64247675,2.72013681292426,2.2458450175212,1.25877805911572,68.2622463579758,50.4553355665264,7.03129681714835,0.689003544167925,4.5,2.5,1.5,-89.9929964725593,0,7.49988295875065,0.772724321978719,
3,2,-847117.604586442,847117.604586442,-1320539.52387086,1320539.52387086,336,19,141.314275708333,3.86173392727601,1.6849882261132,1.3729515876205,-30.8744729694613,25.650289585005,4.00254630946023,0.229436572852311,4.5,2.5,1.5,17.5157315449312,29.3521983241655,2.5,0.499995870028842,
4,2,-481516.911703394,481516.911703394,-1584686.23662263,1584686.23662263,524,24,182.20752075,3.5,1,1,0,45,5,0.1,4.5,2.5,1.5,17.5611240896097,29.3497691232999,2.80354775756026,0.166513535484156,
