run_id,exitflag,fval,social_value,func_count,iterations,time_s,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
1,2,-441802.848014088,441802.848014088,360,19,172.490578083333,4.5,2.5,1.5,17.6545835202359,29.3178836372287,10,0.880900398264758,
2,2,-1362985.33997884,1362985.33997884,827,39,302.492888,4.5,2.5,1.5,15.0007922293703,41.9932132110261,2.68637210286645,0.583329465248185,
3,2,-1584686.23662263,1584686.23662263,524,24,223.987045916667,4.5,2.5,1.5,17.5611240896097,29.3497691232999,2.80354775756026,0.166513535484156,
