run_id,exitflag,fval,social_value,func_count,iterations,time_s,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
1,2,-942545.750748563,942545.750748563,633,26,193.399464208333,4.5,2.5,1.5,17.5559986190415,46.1373236308645,6.60042825667036,0.112893585931936,
2,2,-462942.698235494,462942.698235494,319,17,97.4542782916667,4.5,2.5,1.5,17.6517746195409,29.3211238976582,10,0.772709692542216,
3,2,-822527.957135681,822527.957135681,445,20,143.820761875,4.5,2.5,1.5,17.5574659878023,29.3413069398479,6.08642840482057,0.423066794170614,
4,1,-1118101.42135851,1118101.42135851,412,21,138.117051916667,3.63663622720103,2.5,1.5,-89.6265441947658,0,2.5,0.583305395908433,
5,1,-1056312.76190232,1056312.76190232,270,16,106.131136708333,4.5,2.5,1.5,17.586003581943,29.3509110239584,2.5,1,
6,2,-1584686.23662263,1584686.23662263,524,24,203.969921916667,4.5,2.5,1.5,17.5611240896097,29.3497691232999,2.80354775756026,0.166513535484156,
