run_id,exitflag,fval_initial,social_value_initial,fval,social_value,func_count,iterations,time_s,x0_z_p,x0_l_p,x0_w_p,x0_phi_deg,x0_sigma_deg,x0_y_p,x0_x_p,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
1,2,-137138.53274123,137138.53274123,-441802.848014088,441802.848014088,360,19,112.2828745,3.4745808732559,2.47642811073495,1.42141100473092,-81.6809826533484,71.5327684633967,9.14200687940642,0.869611846188804,4.5,2.5,1.5,17.6545835202359,29.3178836372287,10,0.880900398264758,
2,2,-344731.266993174,344731.266993174,-1362985.33997884,1362985.33997884,827,39,231.344457,4.3921085730067,1.27269219155216,1.12285732720882,67.5636993766012,11.0001987655628,5.96132533814203,0.477450420735698,4.5,2.5,1.5,15.0007922293703,41.9932132110261,2.68637210286645,0.583329465248185,
3,2,-481516.911703394,481516.911703394,-1584686.23662263,1584686.23662263,524,24,156.412821666667,3.5,1,1,0,45,5,0.1,4.5,2.5,1.5,17.5611240896097,29.3497691232999,2.80354775756026,0.166513535484156,
