run_id,exitflag,fval,social_value,func_count,iterations,time_s,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
1,2,-441802.848,441802.848,360,19,77.08975104,4.5,2.5,1.5,17.65458352,29.31788364,10,0.880900398,
2,2,-1362985.34,1362985.34,827,39,178.351852,4.5,2.5,1.5,15.00079223,41.99321321,2.686372103,0.583329465,
3,2,-1584686.237,1584686.237,524,24,108.3308413,4.5,2.5,1.5,17.56112409,29.34976912,2.803547758,0.166513535,
