run_id,exitflag,fval_initial,social_value_initial,fval,social_value,func_count,iterations,time_s,x0_z_p,x0_l_p,x0_w_p,x0_phi_deg,x0_sigma_deg,x0_y_p,x0_x_p,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
1,2,-1114999.59161532,1114999.59161532,-1772228.9592945,1772228.9592945,409,18,800.004315666667,4.4264402873226,2.90795396751804,1.2418041082399,0.334708129795849,79.2893042525897,3.59414814230234,0.527761255850966,4.5,5,1.5,17.6255005987273,29.314370435068,2.705264955932,0.583237849063834,
2,2,-373233.179577099,373233.179577099,-584955.198780313,584955.198780313,335,16,694.577650666667,3.14243147400343,2.60561323303841,1.45241025937907,22.5280337275623,76.4697854454626,8.18277640693712,0.973170263241901,4.5,5,1.5,-89.9999997581341,0,10,0.880950600623474,
3,2,-885774.753115181,885774.753115181,-1328316.67490862,1328316.67490862,449,18,856.158886125,3.6420480940161,4.62496748526943,1.06018783968426,67.1508780971427,30.773218056257,5.06231978883909,0.714320193576991,4.5,5,1.5,17.4564577309834,29.4052126298333,3.31416560830788,0.880952176867549,
4,2,-506259.148084369,506259.148084369,-1011392.09379678,1011392.09379678,294,13,622.730955625,4.36577725000799,2.3772981545374,1.14094206042822,-53.8915681451335,18.5451220120746,7.30840439827931,0.51441317264884,4.5,5,1.5,17.6112611577018,29.2772466067374,7.40556583082059,0.583328554896582,
5,2,-1413288.61532933,1413288.61532933,-1581887.65732819,1581887.65732819,253,7,541.824245708333,3.29883304863722,4.36101556213188,1.1837223153025,43.618512856806,58.6526673729307,4.41089008968591,0.295997101231522,3.37707480559909,4.63092580170999,1.31731807678386,6.27253918300918,33.9805297691544,4.41807666898453,0.295585132575049,
6,1,-204831.919120178,204831.919120178,-979873.149296715,979873.149296715,273,17,591.037709041667,3.54488431020658,1.50862436712246,1.20458065144778,16.649208302869,70.2958224980274,9.90582919334093,0.659698680185909,4.5,5,1.5,17.614565478617,29.3204089729264,10,0.1,
7,2,-493087.956798155,493087.956798155,-1136846.38621444,1136846.38621444,343,14,686.579466375,2.88798645155724,2.16208592465354,1.35648567750804,-14.3306963506371,29.0153806004108,9.10913317959412,0.224917966256467,3.26174948514,5,1.5,17.2202681485969,29.5939382758174,8.15222189663259,0.351829457641788,
8,2,-498079.1930866,498079.1930866,-1157843.31668632,1157843.31668632,248,10,545.0705585,3.32195797156785,4.00897917750136,1.38949760309337,-34.4686629810375,89.6824714568595,5.55830705336166,0.800581320392721,3.98682613058309,5,1.5,16.8229571932381,31.5609178663285,5.73957734991737,0.712661655002105,
9,2,-576970.353376857,576970.353376857,-1497970.33449903,1497970.33449903,701,30,587.583897708333,3.76959461717497,3.54871830818893,1.01774699928585,-71.2759288430207,42.5783498514047,8.53137230953206,0.154663536363252,4.5,5,1.5,17.760129841989,17.2218298235652,5.22416907765877,0.22412997982401,
10,2,-704884.307070355,704884.307070355,-1573530.5393918,1573530.5393918,655,26,666.774515166667,2.67069147613075,4.96123944160172,1.33061072462613,-65.8721497172791,65.3044810796136,6.48634283175103,0.162993051172136,4.5,5,1.5,17.6781589400575,23.1345196147524,3.73538222664761,0.499992258249563,
11,2,-957728.555824279,957728.555824279,-2113680.73663919,2113680.73663919,438,13,475.276795166667,4.22242835805864,3.85461816303552,1.08973569285228,-81.6590814885175,50.9560154702925,2.5740072190965,0.374289541222528,4.10062098275241,5,1.5,-14.725277329238,54.4924498993978,2.65150439139859,0.392144832151493,
12,2,-194930.172679525,194930.172679525,-969117.480816922,969117.480816922,484,23,678.768133916667,3.852139436456,1.13109452597101,1.12252992079553,-28.359082182183,7.06786021262361,7.88164598098858,0.882470503952707,4.5,5,1.5,17.6131179193888,29.3300819415808,7.64317829019232,0.673903023367723,
13,2,-942574.925262833,942574.925262833,-1518548.25378726,1518548.25378726,537,23,762.28324,4.02487769394282,3.26944852529587,1.49776675637047,32.267242925891,4.36481485826771,4.83813647292745,0.441396576798358,4.5,5,1.5,17.6546636844138,29.3376328195082,3.48017704237722,0.583324745123237,
14,2,-762017.191494026,762017.191494026,-1476345.162552,1476345.162552,340,16,528.905828958333,2.51453615586274,1.87937760879671,1.40029667418967,57.7540883288133,12.5814846009209,3.0350269253307,0.831821405757497,4.5,5,1.5,17.6678713720141,29.3069205314689,2.76697786597097,1,
15,2,-402396.362139016,402396.362139016,-892273.312749973,892273.312749973,382,16,561.645630666667,2.94072523422017,1.77486833784955,1.28108605355947,89.1651317788955,36.6116159817795,6.79009251996689,0.604377807886917,4.5,5,1.5,-90,0,7.49995378911519,0.583324828406489,
16,2,-481516.911703394,481516.911703394,-1898989.88996859,1898989.88996859,496,20,747.157202125,3.5,1,1,0,45,5,0.1,4.5,5,1.5,17.5886951009913,29.344372267641,3.35990781562165,0.166600615409538,
