run_id,exitflag,fval_initial,social_value_initial,fval,social_value,func_count,iterations,time_s,x0_z_p,x0_l_p,x0_w_p,x0_phi_deg,x0_sigma_deg,x0_y_p,x0_x_p,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
41,1,-728419.3751,728419.3751,-877147.6653,877147.6653,207,8,274.3769864,2.917624938,2.209046339,1.34358638,-22.94253628,44.49076244,5.153721591,0.390063091,3.897321038,2.5,1.5,6.606377956,35.15746313,5.098907102,0.507905597,
42,1,-323097.7091,323097.7091,-699933.3446,699933.3446,251,9,352.2935253,3.632003205,1.291354412,1.444652839,-58.40375634,23.76064473,6.491216201,0.593383883,4.254423922,2.499997242,1.499997242,8.904516517,44.89767439,6.562397847,0.634046757,
43,1,-634997.6852,634997.6852,-1056312.762,1056312.762,300,17,428.6099357,3.303639751,2.127885299,1.368030754,35.38512849,14.8441381,5.028370312,0.772844336,4.5,2.5,1.5,17.58600345,29.35091115,2.5,1,
44,2,-756685.7298,756685.7298,-1397709.729,1397709.729,252,9,340.3049461,2.744560241,1.043402581,1.183935681,46.86794284,57.82221516,2.878844997,0.14402334,4.375673212,2.5,1.5,-90,0,2.5,0.166664062,
45,2,-307361.6927,307361.6927,-603998.9694,603998.9694,293,11,410.9029768,2.754850175,1.274029113,1.091000297,73.39113954,45.70551142,6.83719623,0.457059063,4.5,2.5,1.5,-89.9865856,0,7.49998503,0.423060912,
46,1,-222874.8922,222874.8922,-1056312.762,1056312.762,362,20,488.9960504,3.608724144,2.110432336,1.362439441,-87.26467409,61.67773502,5.650196115,0.889567668,4.5,2.5,1.5,17.58600562,29.35091256,2.5,1,
47,2,-359092.7586,359092.7586,-1214828.792,1214828.792,483,25,814.2909892,2.864748168,1.134248993,1.264560435,-36.03022805,37.30775647,6.002856336,0.427953083,4.5,2.5,1.5,17.56961148,29.3508441,2.5,0.673896026,
48,2,-414576.3394,414576.3394,-568668.0311,568668.0311,370,19,563.1697458,4.314589924,2.172481505,1.200111773,-44.47716522,39.5775671,9.137496115,0.230636934,4.5,2.5,1.5,17.58899219,29.33456983,10,0.351843847,
49,2,-400659.0057,400659.0057,-838427.4585,838427.4585,413,21,646.3036018,3.841137983,1.11193594,1.476711784,65.43611833,53.1482988,4.629347719,0.55951649,3.969955625,2.5,1.5,-90,0,3.05552692,1,
50,2,-154406.6904,154406.6904,-510837.8555,510837.8555,394,17,555.0524045,2.932287012,1.308182066,1.451244085,60.08487748,84.68966726,7.111409092,0.952801803,4.5,2.5,1.5,-89.97553594,0,7.499740939,0.77272708,
51,2,-354382.9512,354382.9512,-538975.13,538975.13,215,9,316.5957112,4.151009241,2.08803976,1.119277372,42.29453717,64.57284848,9.921736994,0.318366703,4.5,2.5,1.5,-90,0,10,0.224110311,
52,1,-256127.9076,256127.9076,-420665.3907,420665.3907,245,15,341.0264157,2.792191304,1.49349429,1.109449977,-66.00540201,5.779059735,8.438188269,0.835113229,4.5,2.5,1.5,17.65228688,29.31468645,10,1,
53,2,-216098.1767,216098.1767,-1398153.36,1398153.36,565,21,864.2669009,2.818430172,1.94786559,1.173650347,-63.16395118,62.76294734,9.367655111,0.303236853,4.5,2.5,1.5,14.3038109,17.53921669,2.615960341,0.351846818,
