run_id,exitflag,fval_initial,social_value_initial,fval,social_value,func_count,iterations,time_s,x0_z_p,x0_l_p,x0_w_p,x0_phi_deg,x0_sigma_deg,x0_y_p,x0_x_p,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
1,1,-87654.3432632574,87654.3432632574,-154355.219577027,154355.219577027,201,12,362.620492208333,9.72415107745973,1.71548273781927,1.2418041082399,0.334708129795849,79.2893042525897,3.59414814230234,0.527761255850966,9.72415107745973,1,1,14.023008671344,28.3476376207611,3.59414814230234,0.527761255850966,
2,2,-141431.57431231,141431.57431231,-158293.16031936,158293.16031936,679,34,972.393482166667,4.90911802751286,1.6021049623894,1.45241025937907,22.5280337275623,76.4697854454626,8.18277640693712,0.973170263241901,4.5821599680776,1,1.0000005187427,7.19631977232087,0.61268087268648,6.14292407916797,1,
3,2,-140857.99875929,140857.99875929,-156900.944029425,156900.944029425,535,27,794.552966583333,6.78268035256039,2.35936280697604,1.06018783968426,67.1508780971427,30.773218056257,5.06231978883909,0.714320193576991,4.16226491352523,1,1.00000109710954,-90,0,5.25009018526449,1,
4,2,-151933.031688373,151933.031688373,-161570.502478759,161570.502478759,641,27,928.604734291667,9.49666468752996,1.51648680795153,1.14094206042822,-53.8915681451335,18.5451220120746,7.30840439827931,0.51441317264884,4.84379583728081,1,1.00046266302537,13.6633299309147,25.2079919385009,6.2380977644509,0.999649824855102,
5,2,-116590.452163598,116590.452163598,-158144.443529574,158144.443529574,241,12,408.827486166667,5.49562393238957,2.26038083579946,1.1837223153025,43.618512856806,58.6526673729307,4.41089008968591,0.295997101231522,4.66717699114764,1,1.00000063204244,-89.8770734769103,0,6.1428861246631,1,
6,2,-153205.771974031,153205.771974031,-162229.793002814,162229.793002814,802,40,1091.09663941667,6.41831616327468,1.19073413767092,1.20458065144778,16.649208302869,70.2958224980274,9.90582919334093,0.659698680185909,5.49645483531407,1,1.00000176812487,13.5963472593721,24.9743507054973,7.42688045189349,1,
7,2,-155111.081726663,155111.081726663,-161675.090570653,161675.090570653,158,7,303.009084541667,3.95494919333963,1.43578222174508,1.35648567750804,-14.3306963506371,29.0153806004108,9.10913317959412,0.224917966256467,10,1,1.00001206139196,14.5262765863803,37.0886700393337,8.33463500828921,1,
8,2,-78268.1796242472,78268.1796242472,-160157.188876234,160157.188876234,253,13,426.209723041667,5.58234239337943,2.12836719156301,1.38949760309337,-34.4686629810375,89.6824714568595,5.55830705336166,0.800581320392721,4.40721111249255,1,1.00000659025511,14.4334969780322,28.3861068448523,4.87022945452074,1,
9,2,-125248.839760564,125248.839760564,-162166.72149692,162166.72149692,363,12,225.700936375,7.26097981440614,1.95576936557085,1.01774699928585,-71.2759288430207,42.5783498514047,8.53137230953206,0.154663536363252,6.5374888767762,1,1.00002536710612,17.7507842337548,30.4065513252586,7.47087811347279,0.999979596148304,
10,1,-68549.0418280509,68549.0418280509,-160172.740989821,160172.740989821,637,40,752.442203041667,3.14009303549033,2.48546479060065,1.33061072462613,-65.8721497172791,65.3044810796136,6.48634283175103,0.162993051172136,4.1453234479456,1,1.00000000018659,14.3189794314391,28.4100318678524,4.93512525031486,1,
11,1,-47084.0062515612,47084.0062515612,-149466.606223307,149466.606223307,185,11,231.137688125,8.9591063427199,2.07048181113832,1.08973569285228,-81.6590814885175,50.9560154702925,2.5740072190965,0.374289541222528,8.88093197097757,1,1,14.0230153245291,28.3476386917054,2.68454151481122,0.35930691962246,
12,2,-159108.254486802,159108.254486802,-162264.941725609,162264.941725609,672,32,336.912645541667,7.57052288671002,1.04916044723913,1.12252992079553,-28.359082182183,7.06786021262361,7.88164598098858,0.882470503952707,5.52466287334661,1,1.00000632352851,13.5406888052906,28.1172218265392,7.45357975771893,0.999999988810987,
13,2,-141965.540914478,141965.540914478,-161142.107040832,161142.107040832,795,35,785.577812916667,8.21829135228559,1.85104319698595,1.49776675637047,32.267242925891,4.36481485826771,4.83813647292745,0.441396576798358,4.88848848487391,1,1.01823026447365,13.0374118217572,28.5611373977619,6.26481445286295,0.833627550265418,
14,1,-143513.525829177,143513.525829177,-160939.362782816,160939.362782816,814,43,237.766875916667,2.55451058448529,1.32976660329877,1.40029667418967,57.7540883288133,12.5814846009209,3.0350269253307,0.831821405757497,4.39120527600916,1,1.00000000315729,14.3827291232147,28.3952115266681,5.39393420380109,1,
15,2,-145552.02085451,145552.02085451,-160609.424603764,160609.424603764,538,25,698.319641333333,4.15271962832562,1.29057562669358,1.28108605355947,89.1651317788955,36.6116159817795,6.79009251996689,0.604377807886917,6.12036544167646,1,1.00000220955408,-90,0,9.00005956896235,1,
16,2,-150054.789539131,150054.789539131,-162891.773661464,162891.773661464,986,44,821.282528208333,3.5,1,1,0,45,5,0.1,6.42627834474099,1,1.0000063170261,13.8632968607428,25.5182416282716,9.09847556017132,0.999999741817425,
