run_id,exitflag,fval_initial,social_value_initial,fval,social_value,func_count,iterations,time_s,x0_z_p,x0_l_p,x0_w_p,x0_phi_deg,x0_sigma_deg,x0_y_p,x0_x_p,z_p,l_p,w_p,phi_deg,sigma_deg,y_p,x_p,error
1,2,-816499.806038411,816499.806038411,-1477481.48218799,1477481.48218799,282,11,610.98532675,3.34053677252084,1.36440273213487,1.37947166339826,-22.6580391144783,64.0861462182374,3.00474742899966,0.166268606290228,4.3044261237401,2.5,1.5,20.9965274883408,27.407418615617,2.58733332658338,0.285708551668026,
2,1,-465744.259263003,465744.259263003,-1118107.36728933,1118107.36728933,312,14,661.410407291667,4.04547294074476,2.42421538895356,1.41216354497108,70.2805413786917,66.9307481341833,6.79369116154429,0.55664789927595,3.89551016720239,2.5,1.5,-88.3941591197982,0,2.5,0.583301254705292,
3,2,-307960.262496399,307960.262496399,-600077.154325609,600077.154325609,249,9,558.469379791667,3.81022742399055,1.59856065113702,1.33182319967427,12.5009653141018,77.860368385585,7.81399095710361,0.639349740911182,3.90918819246797,2.5,1.5,16.7558367133313,37.0298656801327,8.00418484640708,0.606167782589192,
4,2,-448411.325355668,448411.325355668,-721950.956283602,721950.956283602,592,29,1084.79717404167,2.74580839431052,2.38839273594931,1.15417957951245,-12.5474014717912,85.1131891044664,5.611793519629,0.645677081414844,4.5,2.5,1.5,17.339171558818,51.5954822855174,5.58982573241538,0.880940200147291,
5,2,-229598.65520782,229598.65520782,-441652.335576067,441652.335576067,253,12,554.900397416667,4.19996761357805,1.99539973579782,1.01247133614286,-89.2975777053183,28.3088713513596,8.32959822987349,0.754522799392832,4.5,2.5,1.5,17.6642864233076,29.3347484917897,8.66547334065085,0.880950361190336,
6,2,-902847.239016059,902847.239016059,-1155518.02850362,1155518.02850362,276,12,603.4811675,2.82676977803918,2.2959271197681,1.34989545804733,1.36676834639071,23.2910110342701,2.53462133719822,0.980841181744575,4.5,2.49716681572332,1.5,17.5740690699459,35.0145218215379,2.5,1,
7,2,-660001.90138698,660001.90138698,-1006209.1965041,1006209.1965041,343,13,731.264707833333,3.07138721030666,1.7144539415989,1.20478367196039,78.4657132341131,55.8195770078151,3.57079362407849,0.462996281976952,4.3498493199562,2.5,1.5,-89.9304233779071,0,3.05554193665377,0.583326727419173,
8,2,-281991.914811477,281991.914811477,-653254.872327764,653254.872327764,378,19,781.026974875,4.27864034977097,1.829634214062,1.4780435456127,-76.8642077034728,38.2263429193207,9.78550298631249,0.342963571183747,4.5,2.5,1.5,17.5961959979118,29.3373599379146,10,0.112875108203982,
9,2,-387069.634182728,387069.634182728,-1637681.27007443,1637681.27007443,482,24,494.39939375,3.66267548040721,1.65258261709127,1.46123551909729,-32.3494936174716,42.7351679188377,6.12456446610425,0.785593726712603,4.5,2.5,1.5,17.5188726742514,29.3539583339911,2.5,0.112890223097962,
10,2,-546692.070843222,546692.070843222,-922304.389735887,922304.389735887,393,14,506.378637333333,4.37268462924491,1.2902165839349,1.29764770841999,65.167664389498,49.5895737371767,4.62272856295766,0.302089767269812,4.42112053840006,2.5,1.5,-89.775490974535,0,3.05554694707066,0.772719396641944,
11,2,-382166.242354393,382166.242354393,-627241.367233334,627241.367233334,280,10,489.020890333333,3.86828041110723,2.15083841248832,1.07858602405979,52.7906639834709,79.1791144176909,7.44843806558203,0.433093268681301,4.220849152987,2.49999760055532,1.49999760055532,-89.9999999065397,0,7.49988592764872,0.351853258229171,
12,1,-314871.466285031,314871.466285031,-653255.165722653,653255.165722653,276,17,85.2644404166667,3.49275279299848,1.45265282292194,1.19911628964861,29.7813380921814,10.3077925645722,9.04872354666022,0.262407353698116,4.5,2.5,1.5,17.5988283860021,29.3371283701034,10,0.1,
13,2,-461831.135359881,461831.135359881,-997089.160136386,997089.160136386,555,22,603.952206666667,2.55177056716875,1.082679813009,1.24714081395755,40.8666844709288,16.9353627373217,5.24737381377607,0.140280127277805,4.41467882435853,2.5,1.5,17.3344211648311,29.708232741932,4.97145054774478,0.351823228356807,
14,1,-270018.667453465,270018.667453465,-420665.390728229,420665.390728229,259,16,454.663359416667,3.24405332500963,2.0566148350762,1.10199232528583,-50.1960812809963,1.49631149015485,8.58677126694613,0.899648892635378,4.5,2.5,1.5,17.6521014016119,29.3147040960554,10,1,
15,1,-333942.267752683,333942.267752683,-1056312.76190232,1056312.76190232,242,15,366.971395541667,3.00030253473318,1.16014952656026,1.0474841940708,-54.8542637815227,31.1589915643964,4.33997519948469,0.834857528233739,4.5,2.5,1.5,17.5860071750768,29.3509124930307,2.5,1,
16,2,-481516.911703394,481516.911703394,-1584686.23662263,1584686.23662263,524,24,414.309242458333,3.5,1,1,0,45,5,0.1,4.5,2.5,1.5,17.5611240896097,29.3497691232999,2.80354775756026,0.166513535484156,
